epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1732,1.21829,2.03174,1.34831,0.00957,1,0.745,0.15165,2.93893,2.9188,3.09194,0.00058,0.00058,0.00058
2,56.2697,1.42952,2.47447,1.42194,0.07813,0.5,0.49642,0.21549,1.79957,3.42121,1.82185,0.00115664,0.00115664,0.00115664
3,78.4705,1.54705,2.38625,1.57014,0.00671,0.5,0.03083,0.00669,3.02883,4.01625,2.96438,0.00170951,0.00170951,0.00170951
4,102.289,1.56913,2.35516,1.57331,0.274,0.5,0.16692,0.01669,3.19365,3.78998,3.11248,0.0018812,0.0018812,0.0018812
5,123.882,1.34489,2.71786,1.398,0.00526,0.5,0.08384,0.01038,2.26315,4.44323,2.4409,0.0018416,0.0018416,0.0018416
6,179.849,1.38329,1.94458,1.47994,0,0,0,0,2.01784,4.64968,2.06894,0.001802,0.001802,0.001802
7,215.34,1.31205,2.26465,1.34875,0,0,0,0,1.83391,4.53154,1.85316,0.0017624,0.0017624,0.0017624
8,240.046,1.34577,1.94398,1.429,0.01667,0.5,0.49925,0.1997,2.21079,3.83278,2.37134,0.0017228,0.0017228,0.0017228
9,263.145,1.30883,1.91772,1.39564,0,0,0,0,2.30751,4.45728,1.88423,0.0016832,0.0016832,0.0016832
10,289.159,1.4957,1.94349,1.48945,0,0,0,0,2.38386,4.33079,2.51307,0.0016436,0.0016436,0.0016436
11,312.31,1.13898,1.97485,1.27372,0,0,0,0,2.17283,4.69519,2.43726,0.001604,0.001604,0.001604
12,336.536,1.40641,2.06525,1.41036,0.025,0.5,0.25388,0.10155,2.26874,3.93856,2.16857,0.0015644,0.0015644,0.0015644
13,364.039,1.27565,2.12222,1.39264,0.18182,1,0.695,0.278,2.09532,3.63073,2.16217,0.0015248,0.0015248,0.0015248
14,389.232,1.43876,1.92129,1.51827,0.04878,1,0.33167,0.06633,3.47137,2.53481,3.59159,0.0014852,0.0014852,0.0014852
15,415.321,1.4618,2.0323,1.62828,0.16667,1,0.695,0.08152,2.37806,4.34664,2.70755,0.0014456,0.0014456,0.0014456
16,440.61,1.30728,1.85799,1.34377,0,0,0,0,2.59117,4.56949,2.92387,0.001406,0.001406,0.001406
17,466.96,1.37624,1.88285,1.43593,0.01852,0.5,0.25222,0.07614,2.49933,3.67822,2.3953,0.0013664,0.0013664,0.0013664
18,493.571,1.20457,1.92597,1.36685,0,0,0,0,2.22745,4.80944,2.43562,0.0013268,0.0013268,0.0013268
19,539.862,1.47159,2.02678,1.41996,0.11111,0.5,0.52333,0.05233,2.59766,3.95949,2.66622,0.0012872,0.0012872,0.0012872
20,567.786,1.11969,2.02859,1.21863,0.43247,1,0.4975,0.16745,2.70508,2.08228,2.69405,0.0012476,0.0012476,0.0012476
21,619.022,1.36606,1.84245,1.47997,0,0,0,0,2.42323,4.6447,2.56549,0.001208,0.001208,0.001208
22,664.428,1.12043,1.42014,1.2879,0.5,0.5,0.6225,0.18675,2.6432,4.18121,2.78615,0.0011684,0.0011684,0.0011684
23,693.481,1.18972,1.57263,1.27227,0.85199,0.5,0.51818,0.15545,2.39682,3.19643,2.59488,0.0011288,0.0011288,0.0011288
24,725.011,0.93071,1.37351,1.14057,0.84817,0.5,0.745,0.20588,2.52928,2.8867,2.58278,0.0010892,0.0010892,0.0010892
25,756.413,1.1441,1.82454,1.23838,0.18089,1,0.58591,0.16601,2.4978,3.22784,2.82113,0.0010496,0.0010496,0.0010496
26,781.402,1.24662,1.59022,1.35962,0.61987,0.5,0.55056,0.17152,2.43127,2.78843,2.73341,0.00101,0.00101,0.00101
27,805.829,1.02613,1.39258,1.25404,0.08596,0.5,0.50411,0.1197,2.92093,2.92958,3.28976,0.0009704,0.0009704,0.0009704
28,828.956,0.92324,1.27629,1.08515,0.05263,0.5,0.0515,0.00515,2.46274,3.99153,3.01447,0.0009308,0.0009308,0.0009308
29,852.934,0.96419,1.34706,1.189,0.33333,1,0.995,0.257,2.54289,3.69064,2.86019,0.0008912,0.0008912,0.0008912
30,877.549,0.89384,1.13762,1.05785,0.5,1,0.82833,0.27137,2.6299,2.51538,2.95217,0.0008516,0.0008516,0.0008516
31,901.366,1.10977,1.2477,1.29897,0.64013,0.92039,0.82833,0.23556,2.92087,1.93187,3.22548,0.000812,0.000812,0.000812
32,925.968,0.97752,1.16599,1.1675,0.28571,1,0.398,0.06123,2.93656,2.5038,2.92991,0.0007724,0.0007724,0.0007724
33,951.269,1.03227,1.40866,1.25779,0.48818,1,0.66333,0.18242,2.35591,2.99467,2.13437,0.0007328,0.0007328,0.0007328
